threshold,precision,recall,f1_score,tn,fp,fn,tp,model_name
0.198,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
0.199,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
0.2,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
0.201,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
0.202,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
0.203,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
0.20400000000000001,0.9230769230769231,0.7578947368421053,0.8323699421965318,56645.0,6.0,23.0,72.0,Random Forest
0.20500000000000002,0.9230769230769231,0.7578947368421053,0.8323699421965318,56645.0,6.0,23.0,72.0,Random Forest
0.20600000000000002,0.9230769230769231,0.7578947368421053,0.8323699421965318,56645.0,6.0,23.0,72.0,Random Forest
0.20700000000000002,0.9230769230769231,0.7578947368421053,0.8323699421965318,56645.0,6.0,23.0,72.0,Random Forest
0.20800000000000002,0.9230769230769231,0.7578947368421053,0.8323699421965318,56645.0,6.0,23.0,72.0,Random Forest
0.209,0.9230769230769231,0.7578947368421053,0.8323699421965318,56645.0,6.0,23.0,72.0,Random Forest
0.21,0.9230769230769231,0.7578947368421053,0.8323699421965318,56645.0,6.0,23.0,72.0,Random Forest
0.211,0.9230769230769231,0.7578947368421053,0.8323699421965318,56645.0,6.0,23.0,72.0,Random Forest
0.212,0.9230769230769231,0.7578947368421053,0.8323699421965318,56645.0,6.0,23.0,72.0,Random Forest
0.213,0.9230769230769231,0.7578947368421053,0.8323699421965318,56645.0,6.0,23.0,72.0,Random Forest
0.214,0.935064935064935,0.7578947368421053,0.8372093023255814,56646.0,5.0,23.0,72.0,Random Forest
0.215,0.935064935064935,0.7578947368421053,0.8372093023255814,56646.0,5.0,23.0,72.0,Random Forest
0.216,0.935064935064935,0.7578947368421053,0.8372093023255814,56646.0,5.0,23.0,72.0,Random Forest
0.217,0.935064935064935,0.7578947368421053,0.8372093023255814,56646.0,5.0,23.0,72.0,Random Forest
0.218,0.935064935064935,0.7578947368421053,0.8372093023255814,56646.0,5.0,23.0,72.0,Random Forest
0.219,0.935064935064935,0.7578947368421053,0.8372093023255814,56646.0,5.0,23.0,72.0,Random Forest
0.22,0.935064935064935,0.7578947368421053,0.8372093023255814,56646.0,5.0,23.0,72.0,Random Forest
0.221,0.935064935064935,0.7578947368421053,0.8372093023255814,56646.0,5.0,23.0,72.0,Random Forest
0.222,0.935064935064935,0.7578947368421053,0.8372093023255814,56646.0,5.0,23.0,72.0,Random Forest
0.223,0.935064935064935,0.7578947368421053,0.8372093023255814,56646.0,5.0,23.0,72.0,Random Forest
0.224,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.225,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.226,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.227,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.228,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.229,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.23,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.231,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.232,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.233,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.234,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.23500000000000001,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.23600000000000002,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.23700000000000002,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.23800000000000002,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.23900000000000002,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.24,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.241,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.242,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.243,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.244,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.245,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.246,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.247,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.248,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.249,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.25,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.251,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.252,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.253,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.254,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.255,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.256,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
0.257,0.9466666666666667,0.7473684210526316,0.8352941176470589,56647.0,4.0,24.0,71.0,Random Forest
